id;__latitude;__longitude;__year;Country;Country__colour;Country__shape
164_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
165_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
166_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
168_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
169_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
176_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
18_KM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
181_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
185_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
211_KM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
22_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
225_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
228_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
240_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
25_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
250_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
27_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
306_IMP_2016/1-44983;-6.369.028;34.888.822;2016; Tanzania; orange; circle
351_DM_2016/1-44983;-6.369.028;34.888.822;2016; Tanzania; orange; circle
36_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
372_KM_2016/1-44983;-6.369.028;34.888.822;2016; Tanzania; orange; circle
54_DM_2015/1-44983;-6.369.028;34.888.822;2015; Tanzania; orange; circle
SAMEA4730703_human_Ireland/1-44983;5.341.291;-824.389;2019; Ireland; black; circle
SAMEA4852578_human_Ireland/1-44983;5.341.291;-824.389;2019; Ireland; black; circle
SAMEA6058154_food_Germany/1-44983;51.165.691;10.451.526;2019; Germany; brown; circle
SAMEA7113703_animalfeed_NL/1-44983;52.132.633;5.291.266;2020; Netherlands; green; square
SAMN01902293_food_USA/1-44983;3.709.024;-95.712.891;2015; USA; yellow; triangle
SAMN02344856_food_Syria/1-44983;34.802.075;38.996.815;2015; Syria; brown; square
SAMN02345218_food_Canada/1-44983;56.130.366;-106.346.771;2018; Canada; blue; circle
SAMN02345231_food_Egypt/1-44983;26.820.553;30.802.498;2015; Egypt; green; cirle
SAMN02368594_poultry_DK/1-44983;5.626.392;9.501.785;2016; Denmark; yellow; circle
SAMN02368596_food_DK/1-44983;5.626.392;9.501.785;2016; Denmark; yellow; circle
SAMN02368598_environ_Nigeria/1-44983;9.081.999;8.675.277;2017; Nigeria; pink; square
SAMN02368599_lizard_Nigeria/1-44983;9.081.999;8.675.277;2017; Nigeria; pink; square
SAMN02483563_food_Egypt/1-44983;26.820.553;30.802.498;2015; Egypt; green; cirle
SAMN02678500_food_Syria/1-44983;34.802.075;38.996.815;2015; Syria; brown; square
SAMN02698209_food_Syria/1-44983;34.802.075;38.996.815;2015; Syria; brown; square
SAMN02698231_food_France/1-44983;46.227.638;2.213.749;2015; France; purple; circle
SAMN02843595_food_Malaysia/1-44983;4.210.484;101.975.766;2015; Malaysia; yellow; square
SAMN02843665_food_Egypt/1-44983;26.820.553;30.802.498;2015; Egypt; green; cirle
SAMN02844235_food_Egypt/1-44983;26.820.553;30.802.498;2015; Egypt; green; cirle
SAMN02844527_food_Egypt/1-44983;26.820.553;30.802.498;2015; Egypt; green; cirle
SAMN02874022_food_Pakistan/1-44983;30.375.321;69.345.116;2015; Pakistan; orange; square
SAMN03168719_human_UK/1-44983;5.150.853; -0.12574;2015; UK:London; blue; triangle
SAMN03168735_human_UK/1-44983;55.378.051;-3.435.973;2015; United Kingdom; blue; triangle
SAMN03168782_human_UK/1-44983;55.378.051;-3.435.973;2015; United Kingdom; blue; triangle
SAMN03168900_human_UK/1-44983;55.378.051;-3.435.973;2015; United Kingdom; blue; triangle
